id,Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
62,"Mountain, the Tyrol",John Marin,Male,Watercolor,New York,1.0,300.0,Requested by Organizers
63,In the Tyrol,John Marin,Male,Watercolor,New York,1.0,300.0,Requested by Organizers
64,"Lake and Mountain, Tyrol",John Marin,Male,Watercolor,New York,1.0,250.0,Requested by Organizers
65,Frame of Drawings,Arthut Lee,Male,Drawing,New York & Chicago,2.0,100.0,Requested by Organizers
66,"Hunger under a Bridge, 1912",Eugene Higgins,Male,Tempera,New York & Chicago,2.0,250.0,Requested by Organizers
67,Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2.0,100.0,Requested by Organizers
68,Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2.0,100.0,Requested by Organizers
69,Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2.0,100.0,Requested by Organizers
70,"Drawings, Nos. 1–5, 1912",Alexander Archipenko,Male,Oil,"New York, Chicago & Boston",3.0,27.0,Requested by Organizers
71,Paysage,Othon Friesz,Male,Oil,New York,1.0,324.0,Requested by Organizers
72,Route Vallon,Othon Friesz,Male,Oil,New York,1.0,324.0,Requested by Organizers
73,Landscape wit Figures,Othon Friesz,Male,Oil,New York,1.0,1620.0,Requested by Organizers
74,Coimbra,Othon Friesz,Male,Oil,New York,1.0,459.0,Requested by Organizers
75,Vegetation exotique,Othon Friesz,Male,Oil,New York,1.0,405.0,Requested by Organizers
76,Nausikaa,Wladimir von Bechtejeff,Male,Oil,New York,1.0,812.5,Requested by Organizers
77,Nature Morte 1,Patrick Henry Bruce,Male,Oil,New York,1.0,190.0,Requested by Organizers
78,Nature Morte2,Patrick Henry Bruce,Male,Oil,New York,1.0,135.0,Requested by Organizers
79,Nature Morte 3,Patrick Henry Bruce,Male,Oil,New York,1.0,135.0,Requested by Organizers
80,Nature Morte 4,Patrick Henry Bruce,Male,Oil,New York,1.0,135.0,Requested by Organizers
81,Coin du Village,Jules Flandrin,Male,Oil,New York,1.0,540.0,Requested by Organizers
82,"St. Marc, Venise",Jules Flandrin,Male,Oil,New York,1.0,640.0,Requested by Organizers
83,Venise,Jules Flandrin,Male,Oil,New York,1.0,1080.0,Requested by Organizers
84,Vallee Isere,Jules Flandrin,Male,Oil,New York,1.0,540.0,Requested by Organizers
85,Weary,Eugene Higgins,Male,Oil,New York,1.0,200.0,Requested by Organizers
86,#Faa iheihe 1898,Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3.0,8100.0,Requested by Organizers
87,"Sous les palmiers; now titled Under the Palm Trees, 1891",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3.0,4050.0,Requested by Organizers
88,"#L’Ésprit du mal; now titled Parau na te Varua ino (Words of the Devil), 1892",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3.0,4050.0,Requested by Organizers
89,"Fleurs sur un fond jaune; now titled Still Life with Head-Shaped Vase and Japanese Woodcut, 1889",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3.0,4050.0,Requested by Organizers
90,#Study of a Girl,Morton Schamberg,Male,Oil,New York & Chicago,2.0,100.0,Requested by Organizers
91,"Nature morte, 1888",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3.0,5400.0,Requested by Organizers
92,"Atelier; now titled L’atelier de Schuffenecker (Schuffenecker’s Studio), 1889",Paul Gauguin,Male,Oil,"New York, Chicago & Boston",3.0,9450.0,Requested by Organizers
93,Deux Amies,Alexandre Blanchett,Male,Oil,New York,1.0,540.0,Requested by Organizers
94,"Three Figures, 1911",Phelan Gibb,Male,Oil,New York,1.0,337.5,Requested by Organizers
95,"Landscape, 1911",Phelan Gibb,Male,Oil,New York,1.0,675.0,Requested by Organizers
96,"Jeune Fille à la cruche, 1912",Joseph Bernard,Male,Plaster,"New York, Chicago & Boston",3.0,4860.0,Requested by Organizers
97,"La Tendresse, 1910",Joseph Bernard,Male,Plaster,New York & Chicago,2.0,2160.0,Requested by Organizers
98,Study of a Girl,Morton Schamberg,Male,Oil,New York & Chicago,2.0,100.0,Requested by Organizers
99,L’Estuaire de la Seine,Maurice de Vlaminck,Male,Oil,"New York, Chicago & Boston",3.0,202.5,Requested by Organizers
100,Les Figues,MAurice de Vlaminck,Male,Oil,"New York, Chicago & Boston",3.0,162.0,Requested by Organizers
