id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
256,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/22/2020,5.3,9.0
257,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/23/2020,13.3,1.0
258,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,11/24/2020,4.5,3.0
259,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/25/2020,10.1,1.0
260,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/25/2020,6.3,9.0
261,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,11/25/2020,-1.4,3.0
262,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/27/2020,12.4,9.0
263,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/29/2020,9.4,9.0
264,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,12/1/2020,6.2,3.0
265,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,12/1/2020,10.2,3.0
266,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,12/2/2020,3.7,3.0
267,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,12/2/2020,1.7,9.0
268,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,12/2/2020,5.9,1.0
269,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,12/3/2020,5.2,3.0
270,Maynard High School,Alumni Field,42.422522,-71.44912,12/16/2020,-1.0,9.0
271,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,10/13/2021,29.1,3.0
272,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/19/2021,20.3,6.0
273,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,10/19/2021,5.5,3.0
274,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,10/19/2021,19.5,9.0
275,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,10/19/2021,4.9,3.0
276,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/20/2021,25.5,9.0
277,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/20/2021,12.6,2.0
278,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,10/20/2021,25.3,3.0
279,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,10/20/2021,27.7,9.0
280,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,10/21/2021,15.8,3.0
281,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,10/21/2021,26.2,9.0
282,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,10/21/2021,15.9,3.0
283,Boston University School of Education GLOBE v-School,Mountford St. / Lenox St. Island,42.349035,-71.109894,10/22/2021,23.0,3.0
284,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,10/22/2021,26.7,9.0
285,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/23/2021,24.0,9.0
286,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/24/2021,19.6,9.0
287,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,10/26/2021,13.1,9.0
288,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,10/26/2021,3.2,3.0
289,Boston University School of Education GLOBE v-School,Nickerson Field,42.353,-71.119,10/27/2021,-0.6,9.0
290,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/28/2021,6.7,9.0
291,Boston University School of Education GLOBE v-School,Charlesgate & Beacon,42.350087,-71.092711,10/28/2021,3.3,3.0
292,Boston University School of Education GLOBE v-School,Marsh Plaza,42.350278,-71.106389,10/28/2021,10.0,9.0
293,Boston University School of Education GLOBE v-School,Packards Corner,42.351755,-71.124736,10/28/2021,3.4,3.0
